id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds,team_id
931,Mark,,,Strickland,,IND,,12
932,Eldridge,,,Recasner,,DEN,,8
933,Darrell,,,Armstrong,,ORL,,22
934,Derrick,,,Phelps,,SAC,,26
935,Cherokee,,,Parks,,DAL,,7
936,Loren,,,Meyer,,DAL,,7
937,Charles,,,Claxton,,BOS,,2
938,Eric,,,Williams,,BOS,,2
939,Junior,,,Burrough,,BOS,,2
940,Brent,,,Barry,,LAC,,13
941,Chris,,,Carr,,PHX,,24
942,Michael,,,Finley,,PHX,,24
943,Greg,,,Ostertag,,UTA,,29
944,Eric,,,Snow,,OKC,,21
945,Sherell,,,Ford,,OKC,,21
946,Jerry,,,Stackhouse,,PHI,,23
947,Jeff,,,Webster,,WAS,,30
948,Rasheed,,,Wallace,,WAS,,30
949,Arvydas,,,Sabonis,,POR,,25
950,Gary,,,Trent,,POR,,25
951,Randolph,,,Childress,,POR,,25
952,Bryant,,,Reeves,,MEM,,15
953,Lawrence,,,Moten,,MEM,,15
954,Jason,,,Caffey,,CHI,,5
955,George,,,Zidek,,CHA,,4
956,Alvin,,,Heggs,,HOU,,11
957,Joe,,,Smith,,GSW,,10
958,Alan,,,Henderson,,ATL,,1
959,Travis,,,Best,,IND,,12
960,Damon,,,Stoudamire,,TOR,,28
961,Jimmy,,,King,,TOR,,28
962,Ed,,,O'Bannon,,BKN,,3
963,Lou,,,Roe,,DET,,9
964,Theo,,,Ratliff,,DET,,9
965,Antonio,,,McDyess,,DEN,,8
966,Bob,,,Sura,,CLE,,6
967,Donny,,,Marshall,,CLE,,6
968,John,,,Amaechi,,CLE,,6
969,Tyus,,,Edney,,SAC,,26
970,Jerome,,,Allen,,MIN,,18
971,Kevin,,,Garnett,,MIN,,18
972,Mark,,,Davis,,MIN,,18
973,Marques,,,Bragg,,MIN,,18
974,Shawn,,,Respert,,MIL,,17
975,Fred,,,Hoiberg,,IND,,12
976,Frankie,,,King,,LAL,,14
977,Don,,,Reid,,DET,,9
978,Kurt,,,Thomas,,MIA,,16
979,Sasha,,,Danilovic,,MIA,,16
980,Terrence,,,Rencher,,MIA,,16
981,Cory,,,Alexander,,SAS,,27
982,Howard,,,Nathan,,ATL,,1
983,Todd,,,Mundt,,ATL,,1
984,David,,,Vaughn,,ORL,,22
985,Log,,,Vander Velden,,LAC,,13
986,Ashraf,,,Amaya,,MEM,,15
987,Stefano,,,Rusconi,,PHX,,24
988,Larry,,,Sykes,,BOS,,2
989,Vincenzo,,,Esposito,,TOR,,28
990,Corliss,,,Williamson,,SAC,,26
991,Rastko,,,Cvetkovic,,DEN,,8
992,Corey,,,Beck,,CHA,,4
993,Voshon,,,Lenard,,MIA,,16
994,Anthony,,,Goldwire,,CHA,,4
995,Andrew,,,DeClercq,,GSW,,10
996,Richard,,,Manning,,MEM,,15
997,Clint,,,McDaniel,,SAC,,26
998,Martin,,,Lewis,,TOR,,28
999,Dwayne,,,Whitfield,,TOR,,28
1000,Mario,,,Bennett,,PHX,,24
1001,Melvin,,,Booker,,HOU,,11
1002,Darryl,,,Johnson,,CLE,,6
1003,John,,,Coker,,PHX,,24
1004,Donnie,,,Boyce,,ATL,,1
1005,Thomas,,,Hamilton,,BOS,,2
1006,Robert,,,Churchwell,,GSW,,10
1007,Cuonzo,,,Martin,,MEM,,15
1008,Cedric,,,Lewis,,WAS,,30
1009,Antoine,,,Walker,F,BOS,,2
1010,Brett,,,Szabo,,BOS,,2
1011,Brent,,,Scott,,IND,,12
1012,Erick,,,Dampier,,IND,,12
1013,Jerome,,,Williams,,DET,,9
